"Author","Article","weight"
"1246566","1720484",1
"1247768","1469845",1
"124909","1578668",1
"1250726","1391617",1
"1250909","1531942",1
"1251119","1657892",1
"1252384","1479923",1
"1254","1279700",1
"1254118","1518264",1
"1256503","1599073",1
"1257106","1394982",1
"1257262","1623043",1
"1257262","1661560",1
"1257262","1664193",1
"1257262","1664199",1
"1257262","1665156",1
"1257262","1691612",1
"1257262","1694304",1
"125749","1531942",1
"1257850","1507930",1
"1258246","1575934",1
"1258581","1483087",1
"1258602","1483087",1
"1258989","1612882",1
"1259938","1599079",1
"1263567","1398462",1
"1263713","1366985",1
"1263771","1627831",1
"1264545","1552543",1
"1265440","1548437",1
"1266817","1572873",1
"1266817","1596963",1
"1269172","1615764",1
"1269532","1263579",2
"1269532","1429266",1
"1269532","1638909",1
"1269532","1638913",1
"1269532","1684006",1
"1270746","1572720",1
"1272060","1557722",1
"1272060","1610169",1
"1272550","1442299",1
"1272847","1677477",1
"1273633","1443023",1
"1274109","1706804",1
"1274363","1447046",1
"1274972","1397210",1
"1274972","1657335",1
"1277694","1366717",1
"1278076","1643717",1
"1278423","1585239",1
"1280645","1569796",1
"1282540","1548006",1
"1284014","1450409",1
"1288876","1580371",1
"1289784","1302488",1
"1290444","1621162",1
"1293159","1557594",1
"1293476","1555495",1
"1294348","1360981",2
"1294625","1475042",2
"1296422","1396375",2
"1296422","1437002",2
"1297890","1353803",1
"1298324","1679685",1
"1299511","1633436",1
"1300972","1513230",1
"1302635","1437002",1
"1302887","1431877",1
"1303406","1520105",2
"1303629","1645054",1
"1304988","1433801",1
"1305582","1668064",1
"1305905","1434768",1
"1305969","1617325",1
"1306642","1668174",1
"1306784","1594287",1
"1306784","1612444",1
"1306829","1435575",1
"1306829","1436488",1
"1307562","1669791",1
"1308093","1436796",1
"1308097","1436799",1
"1308115","1436826",1
"1308115","1436827",1
"1308116","1436831",1
"1308118","1436836",1
"1308131","1555554",1
"1308135","1436859",1
"1308383","1471882",1
"1308387","1436812",1
"1308477","1437101",1
"1308670","1449054",1
"130896","1572042",2
"1310588","1630924",1
"1310850","1580305",1
"131410","1112064",1
"131410","1607744",1
"131410","1719707",1
"1314223","1443027",1
"131429","1502801",2
"1314556","1443020",1
"1314560","1443024",1
"1315947","1553005",2
"1316319","1458300",1
"1316619","1600558",1
"1316620","1600558",1
"1316645","1445103",1
"1316645","1600562",1
"1316731","1620527",1
"1316927","1525681",2
"1316936","1606304",1
"1316936","1626792",1
"1316940","1548437",1
"1316940","1549324",1
"1319529","1460938",1
"1319571","1642299",1
"1319590","1232662",2
"1319590","1472552",1
"1319590","1499562",1
"1319590","1499564",1
"1319590","1499566",1
"1319590","1540103",1
"1319590","1557838",1
"1319605","1668987",1
"1319693","1615743",1
"1319693","1642577",1
"1319761","1448512",1
"1320098","1449038",1
"1320101","1449042",1
"1320101","1641845",1
"1320104","1450837",1
"1320123","1449154",1
"1320135","1449108",1
"1320148","1449131",1
"1320152","1449135",1
"1320160","1546247",1
"1320174","1449178",1
"1320175","1449178",1
"1320182","1458728",1
"1320193","1642925",1
"1320194","1642925",1
"1320221","1449323",1
"1320229","1456753",1
"1320240","1464040",1
"1320245","1449291",1
"1320245","1642803",1
"1320245","1644214",1
"1320246","1449291",1
"1320246","1642803",1
"1320247","1449293",1
"1320254","1449304",1
"1320256","1449306",1
"1320258","1449308",1
"1320260","1642196",1
"1320261","1449312",1
"1320262","1449313",1
"1320264","1449316",1
"1320265","1449316",1
"1320265","1657470",1
"1320273","1449319",1
"1320274","1449319",1
"1320276","1449323",1
"1320276","1449358",1
"1320277","1641902",1
"1320278","1449327",1
"1320278","1644110",1
"1320283","1450610",1
"1320283","1534903",1
"1320284","1450610",1
"1320284","1534903",1
"1320288","1449337",1
"1320289","1449339",1
"1320289","1475968",1
"1320289","1487382",1
"1320292","1449344",1
"1320295","1450574",1
"1320295","1587015",1
"1320295","1655224",1
"1320299","1449352",1
"1320300","1449352",1
"1320301","1449352",1
"1320302","1449352",1
"1320304","1449354",1
"1320314","1449385",1
"1320315","1449387",1
"1320318","1452070",1
"1320415","1449505",1
"1320459","1580261",1
"1320496","1449625",1
"1320535","1449687",1
"1320557","1626965",1
"1320567","1667452",1
"1320638","1449861",1
"1320641","1450569",1
"1320641","1644017",1
"1320673","1672555",1
"1320697","1644277",1
"1320719","1643175",1
"1320753","1462818",1
"1320760","1644458",1
"1320796","1450589",1
"1320822","1450149",1
"1320851","1459716",1
"1320862","1580444",1
"1320869","1450242",1
"1320869","1460315",1
"1320872","1450248",1
"1320911","1642838",1
"1320919","1450311",1
"1320925","1578740",1
"1320930","1450336",1
"1320971","1450589",1
"1320988","1450429",1
"1320999","1450466",1
"1321000","1450467",1
"1321016","1450481",1
"1321017","1695196",1
"1321023","1450490",1
"1321025","1450494",1
"1321025","1643144",1
"1321026","1450495",1
"1321038","1450353",1
"1321045","1450525",1
"1321046","1450525",1
"1321047","1450526",1
"1321059","1643950",1
"1321060","1450539",1
"1321062","1450542",1
"1321063","1450543",1
"1321064","1450548",1
"1321064","1580427",1
"1321065","1450548",1
"1321066","1450555",1
"1321066","1457748",1
"1321071","1450566",1
"1321071","1450568",1
"1321072","1450566",1
"1321074","1450568",1
"1321076","1450568",1
"1321078","1450571",1
"1321079","1450572",1
"1321079","1644179",1
"1321080","1450573",1
"1321081","1450577",1
"1321081","1644179",1
"1321084","1641738",1
"1321086","1450584",1
"1321087","1450585",1
"1321087","1641312",1
"1321088","1641691",1
"1321089","1450512",1
"1321090","1450515",1
"1321091","1450516",1
"1321092","1450519",1
"1321092","1657486",1
"1321376","1451055",1
"1321391","1580358",1
"1321417","1479162",1
"1321419","1479162",1
"1321424","1580282",1
"1321516","1578740",1
"1321578","1642196",1
"1321579","1451361",1
"1321631","1451430",1
"1321631","1644629",1
"1321693","1452147",1
"1321693","1642303",1
"1321700","1642717",1
"1321700","1643026",1
"1321704","1668687",1
"1321715","1580408",1
"1321724","1451562",1
"1321724","1531304",1
"1321751","1451595",2
"1321753","1451595",2
"1321754","1451595",1
"1321755","1451596",1
"1321758","1452074",2
"1321765","1451611",1
"1321766","1450539",1
"1321769","1451616",1
